age,sexe,taux,situationFamiliale,nbEnfantsAcharge,2eme voiture,immatriculation
26,M,433,Seule,1,FALSE,1670 XR 54
46,Homme,183,Célibataire,0,FALSE,705 ZS 75
40,F,545,En Couple,2,FALSE,3494 TV 46
49,F,1062,Seul,0,FALSE,9757 SQ 93
75,M,1350,En Couple,4,FALSE,3302 BP 12
70,M,579,En Couple,1,FALSE,8807 YO 46
71,M,904,En Couple,1,TRUE,6129 HV 49
34,F,584,En Couple,0,FALSE,6606 TG 36
25,M,229,Célibataire,0,FALSE,6025 ST 85
56,M,1034,En Couple,2,FALSE,1545 JM 17
66,M,589,En Couple,3,FALSE,5867 RB 74
59,M,475,En Couple,4,FALSE,1227 QX 18
49,M,429,En Couple,1,FALSE,8800 AH 31
23,F,1034,En Couple,1,FALSE,9441 KR 77
25,F,532,En Couple,2,FALSE,6264 UW 93
63,F,517,En Couple,2,FALSE,17 WO 23
49,M,1321,En Couple,0,FALSE,4862 SV 44
83,M,486,En Couple,1,FALSE,1019 PX 80
28,M,400,En Couple,4,FALSE,4345 VU 52
34,M,419,Marié(e),0,FALSE,8857 MP 39
40,M,1087,En Couple,2,FALSE,2726 UM 49
53,F,787,En Couple,1,FALSE,1951 ZT 90
31,F,468,En Couple,?,FALSE,4496 LK 26
81,M,457,Seule,1,FALSE,2173 PX 25
20,M,492,En Couple,1,FALSE,6970 VT 53
41,M,554,En Couple,2,TRUE,1994 JW 49
46,M,442,En Couple,1,FALSE,9106 MU 46
32,M,573,En Couple,4,FALSE,2568 DA 49
49,M,222,En Couple,3,FALSE,3085 PO 90
77,M,717,En Couple,1,TRUE,2101 ED 33
41,F,1351,En Couple,0,FALSE,8895 UY 35
52,M,797,En Couple,4,FALSE,5445 YE 24
63,M,545,Célibataire,0,FALSE,9058 VF 87
24,M,1355,En Couple,0,FALSE,6266 TI 50
33,M,214,En Couple,2,FALSE,2347 KN 10
64,M,173,Célibataire,0,FALSE,3950 AG 52
36,F,933,?,2,FALSE,6154 YT 30
25,M,441,En Couple,0,FALSE,1509 HR 36
52,F,461,Célibataire,0,FALSE,5592 TK 76
27,F,566,En Couple,1,TRUE,3054 XI 75
40,M,917,En Couple,4,FALSE,4472 KT 14
56,M,467,Célibataire,0,FALSE,5872 EY 25
43,M,587,Seule,1,FALSE,6424 JO 32
22,F,428,En Couple,4,TRUE,4639 RY 23
39,F,433,En Couple,1,FALSE,3647 NS 84
41,Homme,855,Célibataire,0,FALSE,9814 MZ 10
80,M,588,Seule,3,FALSE,366 SX 14
24,M,210,En Couple,2,TRUE,9643 AK 33
66,M,951,En Couple,3,FALSE,6225 TC 32
24,F,896,Célibataire,0,FALSE,7152 HP 59
41,M,1246,Célibataire,0,FALSE,7917 IV 11
42,F,514,En Couple,2,FALSE,7310 FI 11
39,F,481,Célibataire,0,FALSE,7809 EY 76
80,F,168,En Couple,0,FALSE,8041 EA 83
55,M,542,En Couple,3,FALSE,8007 YP 54
59,F,1309,Seule,2,FALSE,1985 JU 83
29,M,468,En Couple,0,FALSE,5889 EQ 59
83,M,446,En Couple,4,TRUE,1405 ZR 95
49,M,-1,En Couple,2,FALSE,1454 LD 51
60,M,1250,Célibataire,0,FALSE,6895 EY 28
26,F,459,Seule,1,FALSE,1524 ZB 18
38,M,153,En Couple,1,FALSE,9108 WP 90
42,M,440,Célibataire,0,FALSE,9509 UB 24
19,Féminin,222,En Couple,2,FALSE,7859 UT 15
76,M,189,En Couple,3,FALSE,4908 XE 56
41,M,583,En Couple,3,FALSE,59 TH 29
22,M,441,En Couple,0,FALSE,270 OY 98
63,M,569,Célibataire,0,FALSE,1831 TP 64
27,M,184,En Couple,0,TRUE,6220 KY 33
46,M,477,Seule,2,FALSE,3179 ZH 16
24,M,478,Célibataire,0,FALSE,1645 NH 67
26,M,1374,En Couple,2,FALSE,597 ZP 93
78,M,1271,En Couple,2,FALSE,1910 TW 55
45,M,598,En Couple,0,FALSE,7246 DN 63
37,M,165,En Couple,4,FALSE,6531 GH 36
59,F,584,En Couple,4,FALSE,4457 VM 18
48,F,150,En Couple,2,TRUE,3165 CK 93
25,F,864,En Couple,2,FALSE,2032 OD 19
35,M,1368,En Couple,2,FALSE,1539 TW 12
27,M,557,Seule,3,FALSE,7212 WR 97
19,M,1302,En Couple,3,FALSE,547 YU 73
72,F,548,Célibataire,0,FALSE,2427 YE 34
51,F,558,Seule,1,FALSE,4864 TW 53
44,M,164,En Couple,0,FALSE,1577 LE 27
43,F,583,Célibataire,0,FALSE,4186 WL 77
46,M,787,En Couple,1,FALSE,9930 NS 56
22,F,445,Célibataire,0,FALSE,7387 ZX 90
20,M,471,En Couple,4,TRUE,2187 FH 59
59,M,422,En Couple,0,FALSE,3334 VT 70
25,M,739,Célibataire,0,FALSE,1366 YC 68
20,F,991,Célibataire,0,FALSE,1880 LX 69
31,M,1025,En Couple,2,TRUE,2284 QU 70
50,M,557,Célibataire,0,FALSE,4969 OC 56
77,M,1224,En Couple,2,FALSE,3738 RF 40
56,M,588,En Couple,0,FALSE,8649 IC 13
21,F,887,En Couple,0,FALSE,6743 UY 83
57,F,495,En Couple,2,FALSE,8725 OJ 12
22,M,440,Seule,3,FALSE,1617 IK 58
47,M,925,En Couple,4,FALSE,5393 RM 54
38,F,1325,Célibataire,0,FALSE,2293 GU 39
22,M,443,En Couple,4,FALSE,8716 RL 83
31,M,440,En Couple,2,FALSE,3894 RU 67
71,M,514,Célibataire,0,FALSE,7793 CF 32
58,Masculin,553,En Couple,0,FALSE,7283 JY 92
53,M,192,Seule,1,FALSE,5122 DX 49
45,M,474,Célibataire,0,FALSE,7315 HJ 66
47,M,520,En Couple,2,FALSE,6781 XL 21
-1,F,706,Célibataire,0,FALSE,2025 OJ 44
71,F,1087,Célibataire,0,FALSE,3209 MY 17
67,M,408,En Couple,2,FALSE,5570 ZR 47
58,M,246,Célibataire,0,FALSE,7991 TK 48
75,M,552,Célibataire,0,FALSE,1203 MD 55
51,M,159,Célibataire,0,FALSE,3666 SK 12
29,M,413,Célibataire,0,FALSE,8461 VU 82
30,F,532,Seule,1,FALSE,1297 TG 46
25,M,234,Seule,2,FALSE,3771 JD 45
39,F,583,En Couple,1,FALSE,3762 UJ 13
58,M,450,Célibataire,0,FALSE,8096 AZ 84
45,M,414,En Couple,2,FALSE,3182 QT 98
42,F,1392,Célibataire,0,FALSE,5532 LU 56
26,M,1368,Célibataire,0,FALSE,8650 FQ 31
53,M,450,Célibataire,0,FALSE,5877 ON 55
44,M,528,En Couple,2,FALSE,8817 VP 69
18,M,410,En Couple,1,TRUE,3552 ND 52
49,M,460,En Couple,1,FALSE,4044 HS 78
28,F,455,Célibataire,0,FALSE,6231 ZA 90
43,M,436,Célibataire,0,FALSE,7740 UO 69
22,M,747,Seule,3,FALSE,1985 WA 55
39,M,223,En Couple,1,FALSE,6012 LP 27
36,M,1380,En Couple,4,FALSE,8895 UQ 31
49,M,593,Célibataire,0,FALSE,641 EC 10
81,M,1037,En Couple,4,FALSE,4890 KL 35
18,F,949,En Couple,4,FALSE,8331 ZF 13
53,M,594,En Couple,2,FALSE,616 SL 58
50,M,976,En Couple,0,FALSE,1331 BR 67
45,M,436,Célibataire,0,FALSE,4855 UI 45
55,M,195,Célibataire,0,FALSE,285 XX 36
46,Masculin,408,En Couple,3,FALSE,8574 TJ 15
55,Féminin,445,En Couple,4,FALSE,2277 KR 14
58,M,443,En Couple,1,TRUE,1744 DK 63
46,M,522,En Couple,0,FALSE,7971 YW 89
33,F,465,Célibataire,0,FALSE,7513 FI 52
26,M,420,En Couple,2,FALSE,2313 DN 44
65,M,997,Célibataire,0,FALSE,9905 VF 96
19,M,408,Célibataire,0,FALSE,5025 JK 73
38,F,473,En Couple,4,FALSE,1094 SI 77
55,M,473,Célibataire,0,FALSE,5793 LN 81
34,M,834,Marié(e),0,TRUE,2403 EC 48
29,M,1111,En Couple,0,FALSE,7400 HD 35
72,M,214,Célibataire,0,FALSE,3006 RE 88
-1,M,765,En Couple,2,FALSE,4560 EL 14
65,F,444,En Couple,3,FALSE,8803 NC 41
34,F,1288,En Couple,1,FALSE,1820 DG 92
19,F,1161,Célibataire,0,FALSE,7483 EC 29
25,M,597,Célibataire,0,FALSE,5577 AL 55
19,M,892,Célibataire,0,FALSE,3498 DO 90
46,M,514,Célibataire,0,FALSE,5310 KK 52
58,F,560,En Couple,3,FALSE,7418 KD 12
79,M,539,En Couple,1,FALSE,2957 IZ 53
47,M,1399,Célibataire,0,FALSE,5378 BA 31
28,F,1300,En Couple,0,FALSE,9010 VV 91
34,F,244,En Couple,0,FALSE,9875 IG 14
74,M,1053,Seule,1,FALSE,4480 LZ 45
44,M,402,Seule,2,FALSE,3206 OI 94
44,M,416,En Couple,2,FALSE,4553 VP 53
29,M,526,En Couple,2,FALSE,3393 MW 94
71,M,789,En Couple,0,TRUE,3956 VI 72
65,M,589,En Couple,4,TRUE,1185 SN 87
20,M,596,Célibataire,0,FALSE,8166 BK 88
21,M,598,En Couple,3,FALSE,6927 QZ 39
23,M,714,En Couple,0,FALSE,2428 UU 94
44,F,460,Célibataire,0,FALSE,6333 OP 80
82,M,780,En Couple,0,TRUE,2476 NA 16
77,M,431,En Couple,4,FALSE,408 ZI 44
47,M,1360,Célibataire,0,FALSE,6681 DR 64
52,F,597,En Couple,0,FALSE,6549 VX 45
24,M,1339,En Couple,3,FALSE,9342 OG 67
51,M,420,En Couple,4,TRUE,8357 TY 42
29,M,235,En Couple,1,FALSE,943 GO 52
64,Masculin,486,Célibataire,0,FALSE,7650 KQ 77
42,F,249,Célibataire,0,FALSE,7421 CH 30
20,F,431,Seul,0,FALSE,3074 ZW 29
84,M,205,En Couple,0,FALSE,48 DI 52
37,M,463,Célibataire,0,FALSE,2545 GZ 43
46,F,1035,En Couple,2,FALSE,5020 CN 34
52,F,198,En Couple,4,FALSE,2408 YQ 20
50,F,433,En Couple,0,FALSE,2847 HM 77
21,M,547,Célibataire,0,FALSE,6282 ZI 18
48,M,592,En Couple,1,FALSE,1054 VM 49
42,F,247,En Couple,3,TRUE,8579 BA 96
29,M,424,En Couple,0,FALSE,429 TU 93
26,M,594,En Couple,0,FALSE,8585 WN 42
37,F,422,En Couple,2,FALSE,950 KS 24
25,M,1351,Célibataire,0,FALSE,6893 CR 86
43,M,421,En Couple,0,TRUE,5166 LQ 10
39,F,464,En Couple,3,FALSE,5528 XG 17
63,M,431,En Couple,1,FALSE,1333 YH 14
44,M,221,Célibataire,0,FALSE,5088 VI 55
81,M,173,En Couple,1,FALSE,3444 AL 20
19,M,1012,Seule,1,FALSE,3778 II 42
54,M,443,En Couple,2,TRUE,6622 UM 63
33,M,1070,En Couple,0,FALSE,471 TG 34
52,M,1268,En Couple,1,FALSE,7089 ND 67
32,M,1376,En Couple,2,TRUE,6561 TB 52
22,F,432,En Couple,2,FALSE,7780 SL 78
65,M,1198,En Couple,0,FALSE,1164 NC 54
62,M,217,En Couple,4,TRUE,888 OR 75
25,F,1002,En Couple,0,FALSE,8223 IQ 86
46,F,1297,En Couple,1,FALSE,3577 AH 39
27,F,1130,En Couple,2,FALSE,7498 RN 54
83,M,522,En Couple,1,FALSE,2204 XJ 87
25,M,428,En Couple,2,FALSE,5672 KC 75
22,M,489,En Couple,3,FALSE,96 WE 23
32,M,407,Célibataire,0,FALSE,8988 MY 33
40,M,543,En Couple,0,TRUE,2735 NI 75
82,M,197,En Couple,4,FALSE,9973 DK 98
50,M,1098,En Couple,4,FALSE,3355 CM 75
22,M,883,Célibataire,0,FALSE,5819 ET 64
22,F,1022,En Couple,4,FALSE,1187 XM 36
42,F,434,En Couple,2,TRUE,1745 BO 31
67,M,1276,En Couple,0,FALSE,845 LX 24
58,M,1365,En Couple,2,FALSE,2931 DT 94
43,F,211,Célibataire,0,FALSE,2379 JE 13
57,Homme,211,En Couple,1,TRUE,4759 YC 86
18,F,591,En Couple,0,FALSE,441 GX 86
47,M,517,Célibataire,0,FALSE,3662 JI 40
36,F,156,Célibataire,0,FALSE,6890 OQ 25
48,M,493,Célibataire,0,FALSE,3761 AS 47
35,M,1373,En Couple,1,FALSE,8767 RL 24
57,M,500,En Couple,2,TRUE,6646 YG 22
22,M,428,En Couple,3,FALSE,7906 CL 75
56,M,1184,Célibataire,0,FALSE,8554 CZ 41
53,M,550,Célibataire,0,FALSE,7684 QY 60
54,F,201,Célibataire,0,FALSE,9349 EN 10
41,M,478,Célibataire,0,FALSE,5413 AT 67
37,M,209,En Couple,1,FALSE,155 PN 60
59,Masculin,585,En Couple,0,FALSE,8058 AC 17
20,M,597,En Couple,1,FALSE,9975 KK 43
51,F,583,En Couple,0,FALSE,6598 XR 86
75,M,1004,En Couple,2,FALSE,2896 TY 25
24,F,227,En Couple,2,FALSE,7667 AM 50
55,M,475,Célibataire,0,FALSE,2950 NT 12
77,M,172,En Couple,2,FALSE,1336 JD 81
55,M,-1,En Couple,0,TRUE,1988 WW 97
49,M,977,Seule,3,FALSE,4498 JR 71
19,M,598,En Couple,2,FALSE,733 OC 73
51,M,246,Célibataire,0,FALSE,9116 LI 33
38,M,461,En Couple,2,FALSE,352 HA 92
24,F,218,Célibataire,0,FALSE,9113 BH 71
27,M,505,En Couple,1,FALSE,3445 ZV 87
20,M,1009,Seule,3,FALSE,3526 EQ 41
25,F,442,En Couple,2,FALSE,4319 XT 96
51,M,178,En Couple,4,FALSE,4971 AB 65
57,M,583,Célibataire,0,FALSE,1834 LT 60
40,M,525,Célibataire,0,FALSE,9624 WY 70
52,M,700,En Couple,4,FALSE,7323 TM 81
18,M,1279,En Couple,3,FALSE,5722 CO 21
49,M,1380,En Couple,4,FALSE,9589 DQ 71
61,M,800,En Couple,0,TRUE,4165 XS 15
60,M,468,En Couple,3,FALSE,6800 HX 81
39,M,508,En Couple,2,FALSE,4648 FE 92
65,M,850,En Couple,2,TRUE,466 NP 17
49,F,597,En Couple,2,FALSE,5582 YX 19
62,Homme,1331,En Couple,1,FALSE,1464 PR 72
55,M,513,En Couple,1,TRUE,2761 PV 20
31,M,531,Seule,1,FALSE,1834 VN 84
24,M,924,Célibataire,0,FALSE,2935 IB 52
26,F,475,Célibataire,0,FALSE,2476 VU 96
32,M,525,En Couple,3,FALSE,4863 HY 65
35,M,1246,Célibataire,0,FALSE,1801 LB 92
47,M,975,Célibataire,0,FALSE,3490 LP 18
29,M,1113,Célibataire,0,FALSE,7384 XW 62
23,M,196,Célibataire,0,FALSE,6076 SO 52
43,M,562,En Couple,4,FALSE,649 CV 58
45,M,207,Célibataire,0,FALSE,6193 LZ 84
81,M,1018,Célibataire,0,FALSE,390 RJ 87
21,M,1215,En Couple,1,FALSE,2290 HN 44
29,M,244,Célibataire,0,FALSE,2852 OK 55
54,M,1036,Célibataire,0,FALSE,8888 LQ 21
29,M,854,En Couple,3,FALSE,609 TM 61
24,M,489,Célibataire,0,FALSE,6149 CV 59
36,F,1024,En Couple,2,TRUE,7653 TN 55
25,M,1288,En Couple,1,FALSE,1304 LS 17
23,F,598,En Couple,0,FALSE,1811 GG 17
50,M,170,En Couple,1,TRUE,9639 QP 85
56,M,527,En Couple,2,FALSE,4518 CX 80
59,F,400,En Couple,2,FALSE,7715 FM 68
52,F,247,Célibataire,0,FALSE,9830 QC 34
41,M,518,En Couple,1,TRUE,8105 EV 21
58,F,247,En Couple,1,FALSE,1395 TY 75
62,F,512,Célibataire,0,FALSE,8782 IL 92
69,M,155,Célibataire,0,FALSE,1206 YQ 66
51,F,1210,En Couple,4,FALSE,608 RX 19
69,F,744,En Couple,4,FALSE,5668 GA 28
83,F,458,Seule,2,FALSE,985 GI 11
28,M,465,En Couple,2,TRUE,3756 VT 15
39,M,1173,Célibataire,0,FALSE,7837 CU 86
37,M,509,Célibataire,0,FALSE,9590 VC 35
37,M,552,En Couple,2,FALSE,2184 OE 54
39,M,548,En Couple,2,FALSE,3539 EK 88
76,M,547,En Couple,4,FALSE,2450 JS 88
41,Féminin,538,En Couple,3,FALSE,9873 DY 88
81,F,594,Célibataire,0,FALSE,2701 EW 23
27,Masculin,157,En Couple,2,FALSE,1670 DM 49
26,M,429,En Couple,1,FALSE,1235 BX 46
61,F,429,En Couple,3,FALSE,2354 NU 33
28,M,538,En Couple,2,FALSE,7690 UY 79
31,F,1371,Seule,2,FALSE,2671 XV 45
44,M,949,En Couple,3,FALSE,225 TY 55
50,M,513,Célibataire,0,FALSE,7826 PJ 77
32,M,1200,En Couple,0,TRUE,4738 OF 81
57,M,516,Célibataire,0,FALSE,2361 WD 78
45,M,743,Célibataire,0,FALSE,7792 OA 61
83,F,?,En Couple,0,FALSE,6364 TC 32
27,M,580,En Couple,1,FALSE,616 CY 41
55,M,1306,En Couple,0,TRUE,7965 OI 25
69,M,421,En Couple,2,FALSE,1361 WM 98
37,M,503,En Couple,3,FALSE,3354 RC 16
40,M,236,Célibataire,0,FALSE,3085 LY 11
32,F,224,En Couple,1,FALSE,5688 DN 79
22,M,459,Seule,2,FALSE,5416 ER 21
52,M,517,Célibataire,0,FALSE,6487 MH 48
26,M,465,Célibataire,0,FALSE,6901 IE 95
40,M,246,En Couple,2,FALSE,2818 OI 60
19,M,190,Seule,1,FALSE,7318 AV 53
42,M,1300,En Couple,3,FALSE,7821 YY 15
73,M,155,En Couple,3,FALSE,7394 YP 36
29,M,562,Seule,3,FALSE,759 PM 37
31,F,563,Célibataire,0,FALSE,558 ZK 81
84,M,1164,Célibataire,0,FALSE,1048 GK 45
24,M,517,En Couple,0,FALSE,3415 HH 48
54,M,442,N/D,3,FALSE,2337 JE 44
76,M,443,En Couple,1,FALSE,1092 XX 92
38,M,580,Célibataire,0,FALSE,1776 GS 26
19,M,527,En Couple,4,TRUE,2022 VL 84
39,M,730,En Couple,4,FALSE,3227 EX 62
82,F,450,Célibataire,0,FALSE,6040 ZE 42
28,M,537,En Couple,1,TRUE,9026 XV 72
56,M,1006,Célibataire,0,FALSE,8769 FA 35
56,M,490,Célibataire,0,FALSE,3887 VZ 69
81,F,710,Seule,3,FALSE,6286 RP 86
27,Homme,1209,Célibataire,0,FALSE,7686 YN 66
66,M,514,En Couple,4,FALSE,251 CH 94
65,M,1353,En Couple,1,FALSE,6231 DC 65
47,M,511,En Couple,1,TRUE,2985 YB 64
77,M,545,En Couple,0,FALSE,6425 JZ 41
53,M,438,En Couple,0,TRUE,1062 QR 38
34,F,865,En Couple,2,TRUE,3135 TE 86
40,F,533,En Couple,2,FALSE,266 WZ 19
84,M,559,Seule,2,FALSE,868 HP 17
35,F,153,En Couple,3,TRUE,950 LL 61
26,F,1250,Célibataire,0,FALSE,2480 RU 27
65,M,1120,En Couple,1,TRUE,8948 TK 96
26,M,1103,Célibataire,0,FALSE,4578 RK 53
41,F,514,Marié(e),0,FALSE,1548 HI 63
38,Masculin,558,En Couple,0,TRUE,7429 YU 26
74,M,469,En Couple,2,FALSE,1578 BL 88
79,F,162,En Couple,3,FALSE,4205 IB 26
31,M,551,En Couple,2,FALSE,9354 HZ 23
46,F,539,Seule,1,FALSE,9033 PA 76
18,M,499,En Couple,0,FALSE,6383 US 80
38,M,427,Seule,3,FALSE,9376 KM 76
82,M,944,Célibataire,0,FALSE,3461 IZ 69
54,F,519,En Couple,4,FALSE,8453 FW 90
33,M,483,En Couple,2,FALSE,6868 EQ 36
33,F,198,En Couple,0,FALSE,7413 DF 92
51,M,447,Célibataire,0,FALSE,8397 WR 24
61,M,520,En Couple,0,TRUE,6742 LD 86
21,M,569,En Couple,4,TRUE,1756 BL 66
56,M,916,Célibataire,0,FALSE,3384 JU 88
55,M,244,Célibataire,0,FALSE,7718 JQ 87
42,F,?,En Couple,3,FALSE,5733 DO 78
32,M,1099,Célibataire,0,FALSE,4890 RO 59
58,F,495,Célibataire,0,FALSE,1041 TA 16
58,M,173,En Couple,0,FALSE,6994 WN 10
54,M,1129,Célibataire,0,FALSE,9820 NR 13
47,M,443,En Couple,3,FALSE,3376 HF 48
21,Féminin,477,En Couple,2,FALSE,2525 IZ 38
19,M,578,En Couple,3,FALSE,8243 WP 27
64,M,230,En Couple,3,FALSE,4006 AR 48
50,F,407,Seule,1,FALSE,1777 NK 50
24,M,1291,En Couple,1,FALSE,4068 NJ 40
28,M,1270,En Couple,2,FALSE,6988 IV 51
28,M,1081,En Couple,0,FALSE,3582 PU 96
27,M,508,En Couple,3,FALSE,8800 WU 78
23,M,544,En Couple,4,TRUE,5651 YS 40
44,M,464,En Couple,0,FALSE,8752 CS 58
30,M,238,Célibataire,0,FALSE,5102 JZ 90
19,F,542,En Couple,4,FALSE,1517 WO 30
49,M,540,En Couple,0,TRUE,835 DL 91
48,M,462,Célibataire,0,FALSE,1521 QX 72
51,M,158,En Couple,4,FALSE,4209 CB 12
23,M,227,Célibataire,0,FALSE,6478 GN 71
47,M,877,En Couple,1,FALSE,4095 OI 64
23,M,1139,Célibataire,0,FALSE,5521 DX 85
28,M,453,En Couple,4,FALSE,9088 LJ 43
47,M,406,En Couple,1,FALSE,2402 NQ 34
49,M,158,En Couple,2,FALSE,6977 OM 14
50,F,505,En Couple,3,FALSE,1363 AY 90
28,M,546,En Couple,1,FALSE,3976 SH 94
29,M,209,Célibataire,0,FALSE,6991 YH 96
81,M,485,En Couple,3,FALSE,9636 KQ 10
78,M,473,En Couple,0,TRUE,8906 ZA 76
50,F,519,En Couple,1,FALSE,1809 QH 55
19,F,434,En Couple,1,FALSE,324 AE 40
29,F,588,Marié(e),4,FALSE,7395 JR 51
30,M,429,En Couple,0,FALSE,7016 HT 73
32,M,1045,Célibataire,0,FALSE,8375 DG 16
42,M,441,En Couple,1,FALSE,7574 OX 38
55,M,596,En Couple,0,FALSE,9623 FX 79
20,F,583,En Couple,3,TRUE,3551 PI 64
24,F,1238,En Couple,1,FALSE,3460 NG 56
49,M,151,Célibataire,0,FALSE,7223 ZA 64
30,M,522,En Couple,0,FALSE,2411 OV 48
18,M,469,En Couple,1,TRUE,658 JU 11
49,Homme,196,En Couple,1,FALSE,1539 SY 32
21,M,476,Célibataire,0,FALSE,825 IM 81
79,F,401,Célibataire,0,FALSE,2395 YY 14
27,M,417,Célibataire,0,FALSE,2755 TU 38
74,M,596,En Couple,4,FALSE,846 DK 49
45,M,172,En Couple,0,FALSE,3679 GE 64
18,M,460,En Couple,3,FALSE,4080 AR 25
26,M,873,En Couple,2,FALSE,9398 ME 12
30,M,553,En Couple, ,FALSE,8143 MK 60
34,F,217,En Couple,0,FALSE,7515 ZY 16
21,M,474,Célibataire,0,FALSE,4452 NU 64
21,M,483,En Couple,0,FALSE,716 JW 88
36,M,1369,Célibataire,0,FALSE,3378 AD 30
66,F,498,Célibataire,0,FALSE,4768 ZB 92
54,M,502,Seule,2,FALSE,1619 CT 34
23,M,564,En Couple,0,FALSE,4600 LY 82
84,F,867,En Couple,1,FALSE,6192 OV 90
23,M,236,En Couple,4,FALSE,64 BF 22
24,M,476,En Couple,0,FALSE,7799 LT 20
46,Féminin,230,En Couple,3,FALSE,8924 AX 63
20,F,157,Seule,3,FALSE,7348 TA 58
45,M,906,Célibataire,0,FALSE,9245 VZ 68
24,F,174,En Couple,4,FALSE,8762 AR 17
83,M,1386,En Couple,0,FALSE,4396 AE 27
26,M,210,En Couple,2,FALSE,9113 QY 47
33,F,830,En Couple,3,FALSE,1883 IF 16
36,F,454,Célibataire,0,FALSE,8215 ZW 96
23,F,444,En Couple,3,FALSE,6665 WR 41
41,M,244,En Couple,3,FALSE,3001 TZ 19
46,M,1357,En Couple,1,FALSE,8220 LZ 68
56,F,590,En Couple,2,TRUE,1177 BS 70
77,M,448,Célibataire,0,FALSE,3221 VL 27
30,M,238,En Couple,4,FALSE,3326 LD 42
48,M,1352,Célibataire,0,FALSE,1025 MX 96
37,F,1199,En Couple,4,FALSE,6409 TL 98
19,F,501,En Couple,1,FALSE,9445 XQ 19
57,F,596,En Couple,4,FALSE,6228 GM 74
30,Femme,1033,Célibataire,0,FALSE,6335 BT 84
75,F,437,En Couple,1,FALSE,4035 YJ 58
75,M,498,En Couple,3,FALSE,3593 WP 52
27,F,213,Célibataire,0,FALSE,6756 UX 96
68,M,249,Célibataire,0,FALSE,8759 AN 85
24,F,534,En Couple,4,TRUE,96 WN 94
73,M,831,Célibataire,0,FALSE,5173 ML 79
39,M,426,En Couple,3,FALSE,4009 ZP 95
63,M,486,Célibataire,0,FALSE,5275 RF 71
82,M,562,En Couple,3,FALSE,7772 RL 98
43,M,472,Célibataire,0,FALSE,9371 MO 82
45,M,579,En Couple,4,FALSE,8478 DI 97
55,M,517,Seule,1,FALSE,7039 EY 76
32,M,925,Célibataire,0,FALSE,1665 LI 56
22,M,193,En Couple,4,TRUE,7197 FM 47
24,M,1116,En Couple,3,FALSE,8125 BI 41
31,M,432,En Couple,1,TRUE,2228 ZO 49
39,F,1038,Célibataire,0,FALSE,3049 FR 76
60,M,788,En Couple,1,TRUE,9630 NU 53
54,F,469,En Couple,2,FALSE,9185 VP 58
46,M,584,En Couple,1,FALSE,8206 GK 17
58,M,230,Seule,-1,FALSE,5951 YP 45
45,M,1188,Célibataire,0,FALSE,753 YE 97
81,F,485,En Couple,4,TRUE,7076 AK 83
28,F,446,En Couple,2,FALSE,927 LI 20
70,M,1283,En Couple,0,FALSE,381 JX 15
28,M,183,Célibataire,0,FALSE,9304 FV 76
18,M,828,Célibataire,0,FALSE,80 TM 73
35,M,1175,En Couple,0,FALSE,9800 TU 54
56,M,1180,En Couple,0,FALSE,5230 IS 83
20,F,1066,En Couple,4,TRUE,5205 CL 35
65,F,207,En Couple,1,FALSE,5457 TV 80
22,M,150,Célibataire,0,FALSE,2110 IC 74
47,M,586,Célibataire,0,FALSE,2492 XH 82
45,M,477,En Couple,2,FALSE,5963 ZX 30
78,M,428,En Couple,0,TRUE,4480 AI 32
21,F,763,En Couple,1,FALSE,9969 DA 14
59,M,525,Célibataire,0,FALSE,6339 UV 56
82,M,511,En Couple,2,FALSE,7933 XH 95
26,M,218,Célibataire,0,FALSE,3304 LR 48
33,M,576,En Couple,1,FALSE,1029 MB 90
59,F,421,En Couple,0,TRUE,4171 AQ 54
42,M,400,Célibataire,0,FALSE,7020 DK 27
24,M,1008,Célibataire,0,FALSE,8659 EO 23
33,F,161,Célibataire,0,FALSE,1517 OG 13
22,F,215,Divorcée,3,FALSE,417 HT 58
60,F,550,En Couple,4,FALSE,8604 XI 60
30,M,521,En Couple,2,FALSE,6541 QN 42
36,M,572,En Couple,2,FALSE,8154 CL 70
24,M,478,En Couple,1,FALSE,5662 LP 98
38,M,428,En Couple,3,FALSE,240 RO 65
55,F,536,Célibataire,0,FALSE,5408 FX 45
74,M,523,En Couple,1,FALSE,1136 TC 91
57,F,1386,En Couple,2,FALSE,60 JY 54
43,F,562,En Couple,4,FALSE,3208 LK 18
66,M,599,Célibataire,0,FALSE,5637 DI 31
31,M,885,En Couple,3,FALSE,432 OW 70
73,M,502,En Couple,2,FALSE,855 JP 66
58,M,418,En Couple,0,TRUE,3033 GT 97
59,F,852,En Couple,2,FALSE,2360 QQ 72
24,M,725,Seule,1,FALSE,6333 YM 33
20,N/D,1104,En Couple,3,FALSE,3001 FK 82
50,M,209,Seule,3,FALSE,3060 TZ 52
79,M,529,En Couple,4,FALSE,5236 NT 34
47,F,553,Célibataire,0,FALSE,1291 CW 25
44,F,513,En Couple,0,FALSE,4556 XC 57
22,F,1195,En Couple,4,TRUE,3996 IZ 64
45,F,931,Seul,0,FALSE,9394 DM 28
22,M,853,En Couple,1,FALSE,3898 NO 43
44,M,537,Célibataire,0,FALSE,8476 OO 69
28,M,517,En Couple,2,FALSE,1683 FS 35
27,M,433,En Couple,2,TRUE,5773 WC 52
45,M,198,En Couple,3,FALSE,2958 JL 40
18,M,429,En Couple,2,FALSE,769 FR 42
